logo,slug,name
https://www.stxnext.com/hubfs/technology-magazine-dark-logo.png,technology-magazine-dark,Technology Magazine Dark
https://www.stxnext.com/hubfs/Business-Leader-logo.jpg,business-leader,Business Leader
https://www.stxnext.com/hubfs/enterprise-talk-logo.png,enterprise-talk,Enterprise Talk
https://www.stxnext.com/hubfs/TechHQ-logo.jpeg,techhq,TechHQ
https://www.stxnext.com/hubfs/silicon%20republic%20logo.png,silicon-republic,Silicon Republic
https://www.stxnext.com/hubfs/0063292b-918a-42eb-856f-a2b5bc30d646.png,financial-it,Financial IT
https://www.stxnext.com/hubfs/TechRadar_logo.svg.png,techradar,TechRadar
https://www.stxnext.com/hubfs/Computing_magazine_logo.svg.png,computing-magazine,Computing Magazine
https://www.stxnext.com/hubfs/computer%20weekly%20logo.jpg,computer-weekly,Computer Weekly
https://www.stxnext.com/hubfs/Information-Age-logo.png,information-age,Information Age
https://www.stxnext.com/hubfs/startups-magazinelogo.png,startups-magazine,Startups Magazine
https://www.stxnext.com/hubfs/the-fintech-times.png,the-fintech-times,The Fintech Times
https://www.stxnext.com/hubfs/puls-biznesu-logo.png,puls-biznesu,Puls Biznesu
https://www.stxnext.com/hubfs/Imported%20sitepage%20images/betanews%20logo.jpg,betanews,Betanews
https://www.stxnext.com/hubfs/London%20Loves%20Business.png,london-loves-business,London Loves Business
https://www.stxnext.com/hubfs/Computerwoche-Logo.png,computerwoche,Computerwoche
https://www.stxnext.com/hubfs/DEVOPS.COM%20-%20LOGO%20-%20NEW.png,devops.com--new,DEVOPS.COM  NEW
https://www.stxnext.com/hubfs/corporate-vision-logo.jpg,corporate-vision,Corporate Vision
https://www.stxnext.com/hubfs/ai-magazine-dark-logo.png,ai-magazine-dark,Ai Magazine Dark
https://www.stxnext.com/hubfs/Hurricane-Valley-Times-logo%20(1).png,hurricane-valley-times--(1),Hurricane Valley Times  (1)
https://www.stxnext.com/hubfs/LOGO_SDTimes.webp,sdtimes,SDTimes
https://www.stxnext.com/hubfs/forbes.png,forbes,Forbes
https://www.stxnext.com/hubfs/techround-logo-alt.png,techround--alt,Techround  Alt
https://www.stxnext.com/hubfs/DevOps%20logo%202.png,devops,DevOps
https://www.stxnext.com/hubfs/Connect%20World%20logo.png,connect-world,Connect World
https://www.stxnext.com/hubfs/PCR%20Logo.png,pcr,PCR
https://www.stxnext.com/hubfs/HR%20Director%20logo.png,hr-director,HR Director
https://www.stxnext.com/hubfs/Embedded-Computing-Design%20logo.png,embedded-computing-design,Embedded Computing Design
https://www.stxnext.com/hubfs/Intellogent%20CIO_logo.jpg,intellogent-cio,Intellogent CIO
https://www.stxnext.com/hubfs/Python%20Development%20Company%20-%20STX%20Next%20Lp%20Page%202022/Images/-g-%20forbes.png,g-forbes,G Forbes
https://www.stxnext.com/hubfs/Dark%20Reading%20logo.png,dark-reading,Dark Reading
https://www.stxnext.com/hubfs/itproportal.png,itproportal,Itproportal
https://www.stxnext.com/hubfs/Imported%20sitepage%20images/news_logo_helpnetsecurity.svg,news--helpnetsecurity,News  Helpnetsecurity
https://www.stxnext.com/hubfs/the-enterprisers-project.png,the-enterprisers-project,The Enterprisers Project
https://www.stxnext.com/hubfs/continuity-central.png,continuity-central,Continuity Central
https://www.stxnext.com/hubfs/healthcare-business-today.png,healthcare-business-today,Healthcare Business Today
https://www.stxnext.com/hubfs/analytics-insight-1.jpg,analytics-insight-1,Analytics Insight 1
https://www.stxnext.com/hubfs/information-age.png,information-age,Information Age
https://www.stxnext.com/hubfs/internet-retailing-1.jpg,internet-retailing-1,Internet Retailing 1
https://www.stxnext.com/hubfs/eenews-europe.png,eenews-europe,Eenews Europe
https://www.stxnext.com/hubfs/BF-black-300x92.png,bf-black-3-x9,BF Black 3 X9
https://www.stxnext.com/hubfs/1Digitalisation-World-Logo.jpg,1digitalisation-world,1Digitalisation World
https://www.stxnext.com/hubfs/infosecurity-magazine.jpg,infosecurity-magazine,Infosecurity Magazine
https://www.stxnext.com/hubfs/money-pl.png,money-pl,Money Pl
https://www.stxnext.com/hubfs/privateequitywire.svg,privateequitywire,Privateequitywire
